Event,Name,Time
50 Free,Sam Scott,22.51
50 Free,Morgan Lukinac,22.9
50 Free,Kelly Dolce,23.31
50 Free,Jenna Reznicek,23.35
50 Free,Yvonne Jia,23.45
50 Free,Kellie Willhite,23.54
50 Free,Molly Leubner,23.6
50 Free,Nell Chidley,24.09
50 Free,Anna Podurgiel,24.14
50 Free,Amie Barrow,24.24
50 Free,Rebecca Waterson,24.28
50 Free,Zehra Duru Bilgin,24.94
50 Free,Audrey Orange,25.28
50 Free,Katie Phelps,25.37
50 Free,Stella Chukwulozie,25.45
50 Free,Bella Antoniuk,25.51
50 Free,Maria Iorini,25.65
50 Free,Emily Clements,25.92
100 Free,Morgan Lukinac,49.36
100 Free,Sam Scott,49.88
100 Free,Kelly Dolce,50.03
100 Free,Anna Podurgiel,50.18
100 Free,Yvonne Jia,50.3
100 Free,Zehra Duru Bilgin,51.63
100 Free,Audrey Orange,51.78
100 Free,Molly Leubner,52.11
100 Free,Bella Antoniuk,52.42
100 Free,Amie Barrow,52.81
100 Free,Kellie Willhite,52.92
100 Free,Maria Iorini,53.13
100 Free,Emily Clements,54.05
200 Free,Morgan Lukinac,1:47.47
200 Free,Kelly Dolce,1:48.04
200 Free,Anna Podurgiel,1:48.07
200 Free,Zehra Duru Bilgin,1:49.37
200 Free,Bella Antoniuk,1:49.90
200 Free,Maria Iorini,1:50.51
200 Free,Audrey Orange,1:50.58
200 Free,Yvonne Jia,1:50.68
200 Free,Sara Barrett,1:51.78
500 Free,Sara Barrett,4:50.08
500 Free,Sumner Chmielewski,4:51.09
500 Free,Bella Antoniuk,4:53.73
500 Free,Audrey Orange,4:54.27
500 Free,Emily Clements,4:55.26
500 Free,Maria Iorini,4:56.28
500 Free,Isabelle Shapiro,5:00.50
500 Free,Evie KRALL,5:15.50
1000 Free,Sara Barrett,9:59.04
1000 Free,Sumner Chmielewski,10:11.21
1000 Free,Bella Antoniuk,10:15.49
1000 Free,Audrey Orange,10:21.81
1000 Free,Evie KRALL,10:29.54
1000 Free,Margot Gibbons,10:30.58
100 Back,Jenna Reznicek,53
100 Back,Isabelle Shapiro,54.19
100 Back,Yvonne Jia,54.74
100 Back,Zehra Duru Bilgin,55.23
100 Back,Rebecca Waterson,55.25
100 Back,Nell Chidley,56.91
100 Back,Emily Clements,57.42
100 Back,Kelly Dolce,57.62
100 Back,Katie Phelps,58.04
200 Back,Jenna Reznicek,1:58.04
200 Back,Isabelle Shapiro,1:59.35
200 Back,Emily Clements,2:00.01
200 Back,Sumner Chmielewski,2:02.97
200 Back,Rebecca Waterson,2:03.20
200 Back,Katie Phelps,2:05.44
100 Breast,Ellie Brault,1:02.73
100 Breast,Catherine Yu,1:02.80
100 Breast,Kaitlyn Holmes,1:02.83
100 Breast,Amie Barrow,1:03.12
100 Breast,Kellie Willhite,1:04.00
100 Breast,Stella Chukwulozie,1:04.36
200 Breast,Kaitlyn Holmes,2:15.52
200 Breast,Amie Barrow,2:16.13
200 Breast,Ellie Brault,2:16.22
200 Breast,Catherine Yu,2:16.92
200 Breast,Kellie Willhite,2:19.02
200 Breast,Evie KRALL,2:20.93
200 Breast,Stella Chukwulozie,2:22.19
100 Fly,Zehra Duru Bilgin,54.17
100 Fly,Jenna Reznicek,54.73
100 Fly,Yvonne Jia,54.8
100 Fly,Nell Chidley,54.85
100 Fly,Rebecca Waterson,55.24
100 Fly,Amie Barrow,57.22
200 Fly,Zehra Duru Bilgin,1:58.59
200 Fly,Nell Chidley,2:00.06
200 Fly,Sumner Chmielewski,2:01.42
200 Fly,Maria Iorini,2:03.46
200 Fly,Yvonne Jia,2:05.22
200 IM,Anna Podurgiel,2:00.69
200 IM,Yvonne Jia,2:02.17
200 IM,Ellie Brault,2:02.38
200 IM,Catherine Yu,2:04.79
200 IM,Amie Barrow,2:04.87
200 IM,Kaitlyn Holmes,2:05.29
200 IM,Zehra Duru Bilgin,2:06.85
200 IM,Emily Clements,2:07.45
400 IM,Sumner Chmielewski,4:15.78
400 IM,Emily Clements,4:18.73
400 IM,Kaitlyn Holmes,4:21.04
400 IM,Ellie Brault,4:22.65
400 IM,Evie KRALL,4:24.33
400 IM,Catherine Yu,4:34.81
