Event ,Name ,Time 
1000 freestyle,Marcella Ruppert-Gomez,10:06.37
1000 freestyle,Carlie Rose,10:07.56
1000 freestyle,Lizzie Brock,10:20.32
1000 freestyle,Grace Yoon,10:33.68
1000 freestyle,Kate Hazlett,10:38.70
1000 freestyle,Liz Boyer,10:39.94
1000 freestyle,Robin Cruz-Abrams,10:40.26
50 freestyle,Anya Mostek,22.72
50 freestyle,Mandy Brenner,22.89
50 freestyle,Darlene Fung,23.06
50 freestyle,Athena Ye,23.8
50 freestyle,Samantha Shelton,23.84
50 freestyle,Addie Rose Bullock,23.96
50 freestyle,Kaia Li,24.09
50 freestyle,Molly Hamlin,24.2
50 freestyle,Victoria Eisenhauer,24.33
50 freestyle,Kate Hazlett,24.48
50 freestyle,Amber van Meines,24.53
50 freestyle,Abby Carr,24.79
50 freestyle,Aleksandra DENISENKO,25.27
50 freestyle,Alison Hu,25.33
50 freestyle,Carlie Rose,25.34
50 freestyle,Erin Cavanagh,25.4
50 freestyle,Grace Yoon,26.19
50 freestyle,Liz Boyer,26.5
50 freestyle,Natalie Whalen,26.71
100 freestyle,Anya Mostek,49.5
100 freestyle,Mandy Brenner,49.82
100 freestyle,Molly Hamlin,49.87
100 freestyle,Samantha Shelton,50.15
100 freestyle,Darlene Fung,50.97
100 freestyle,Addie Rose Bullock,52.18
100 freestyle,Erin Cavanagh,52.82
100 freestyle,Carlie Rose,53.21
100 freestyle,Kaia Li,53.28
100 freestyle,Amber van Meines,53.71
100 freestyle,Athena Ye,54.1
100 freestyle,Grace Yoon,54.41
100 freestyle,Liz Boyer,54.87
100 freestyle,Natalie Whalen,55.58
100 freestyle,Aleksandra DENISENKO,55.72
100 freestyle,Alison Hu,55.91
200 freestyle,Samantha Shelton,1:46.13
200 freestyle,Anya Mostek,1:46.56
200 freestyle,Molly Hamlin,1:47.66
200 freestyle,Addie Rose Bullock,1:48.39
200 freestyle,Sydney Lu,1:49.64
200 freestyle,Erin Cavanagh,1:52.26
200 freestyle,Kate Hazlett,1:53.05
200 freestyle,Robin Cruz-Abrams,1:53.32
200 freestyle,Grace Yoon,1:57.39
500 freestyle,Sydney Lu,4:51.81
500 freestyle,Molly Hamlin,4:53.40
500 freestyle,Marcella Ruppert-Gomez,4:55.95
500 freestyle,Carlie Rose,4:56.70
