Event,Name,Time,Team,Time_in_seconds
100 BACK,Anya Mostek,52.62,Team 1,52.62
100 BACK,Lindsey Wagner,53.35,Team 2,53.35
100 BACK,Quinn Murphy,53.98,Team 2,53.98
100 BACK,Abby Carr,54.01,Team 1,54.01
100 BACK,Addie Rose Bullock,54.53,Team 1,54.53
100 BACK,Sophia Moore,54.8,Team 2,54.8
100 BACK,Samantha Shelton,55.61,Team 1,55.61
100 BACK,Molly Hamlin,55.67,Team 1,55.67
100 BACK,Kaia Li,55.7,Team 1,55.7
100 BACK,Ginger Ren,55.7,Team 2,55.7
100 BACK,Athena Ye,56.51,Team 1,56.51
100 BACK,Victoria Eisenhauer,56.96,Team 1,56.96
100 BACK,Raime Jones,57.37,Team 2,57.37
100 BACK,Alex Massey,57.51,Team 2,57.51
100 BACK,Claire Michalik,57.93,Team 2,57.93
100 BACK,Amber van Meines,58.32,Team 1,58.32
100 BACK,Mandy Brenner,58.5,Team 1,58.5
100 BACK,Natalie Whalen,58.81,Team 1,58.81
100 BACK,Ava Franks,59.91,Team 2,59.91
100 BACK,Izz Paoletti,1:00.81,Team 2,60.81
100 BACK,Alison Hu,1:02.25,Team 1,62.25
100 BREAST,Jessey Li,59.96,Team 2,59.96
100 BREAST,Ava Franks,1:00.73,Team 2,60.73
100 BREAST,Aleksandra DENISENKO,1:01.73,Team 1,61.73
100 BREAST,Kaia Li,1:01.78,Team 1,61.78
100 BREAST,Victoria Eisenhauer,1:02.04,Team 1,62.04
100 BREAST,Mary Buckley,1:02.07,Team 2,62.07
100 BREAST,Sophia Zhang,1:02.12,Team 1,62.12
100 BREAST,Olivia Paoletti,1:03.16,Team 2,63.16
100 BREAST,Liz Boyer,1:04.24,Team 1,64.24
100 BREAST,Anya Mostek,1:04.77,Team 1,64.77
100 BREAST,Maggie Buckley,1:05.30,Team 1,65.3
100 BREAST,Sophia Moore,1:07.15,Team 2,67.15
100 BREAST,Ophelia Pilkinton,1:09.45,Team 2,69.45
100 BREAST,Junseo Kim,1:09.46,Team 2,69.46000000000001
100 BREAST,Sophie Butte,1:11.01,Team 1,71.01
100 FLY,Sydney Lu,52.31,Team 1,52.31
100 FLY,Alex Massey,53.11,Team 2,53.11
100 FLY,Abby Carr,53.34,Team 1,53.34
100 FLY,Mandy Brenner,54.53,Team 1,54.53
100 FLY,Ophelia Pilkinton,54.59,Team 2,54.59
100 FLY,Maissa Healy,54.65,Team 2,54.65
100 FLY,Darlene Fung,54.8,Team 1,54.8
100 FLY,Addie Rose Bullock,55.29,Team 1,55.29
100 FLY,Claire Michalik,55.34,Team 2,55.34
100 FLY,Athena Ye,55.52,Team 1,55.52
100 FLY,Éle Donegan,55.98,Team 2,55.98
