Event,Name,Time,Team
1000 free,Christina Cianciolo,10:15.33,Dartmouth
1000 free,Carly Joerin,10:23.45,Dartmouth
1000 free,Sydney Rawie,10:52.69,Dartmouth
1000 free,Hayden Barry,11:16.01,Dartmouth
50 free,Lane Murray,23.42,Dartmouth
50 free,Mary Howley,24.09,Dartmouth
50 free,Lindsey Drumm,24.09,Dartmouth
50 free,Rachel Zhang,24.19,Dartmouth
50 free,Christina Cianciolo,24.63,Dartmouth
50 free,Zoe Moon,24.93,Dartmouth
50 free,Sophie Wiener,25.07,Dartmouth
50 free,Sydney Rawie,25.62,Dartmouth
50 free,Katherine Kramer,25.66,Dartmouth
50 free,Julianne Jones,26.18,Dartmouth
50 free,Carly Joerin,27.49,Dartmouth
100 free,Lane Murray,51,Dartmouth
100 free,Mary Howley,52.57,Dartmouth
100 free,Christina Cianciolo,52.74,Dartmouth
100 free,Lindsey Drumm,52.8,Dartmouth
100 free,Sydney Rawie,53.47,Dartmouth
100 free,Sophie Wiener,53.56,Dartmouth
100 free,Rachel Zhang,53.7,Dartmouth
100 free,Katherine Kramer,54.9,Dartmouth
100 free,Carly Joerin,57.18,Dartmouth
200 free,Christina Cianciolo,1:52.82,Dartmouth
200 free,Sydney Rawie,1:52.87,Dartmouth
200 free,Lindsey Drumm,1:53.34,Dartmouth
200 free,Sophie Wiener,1:54.64,Dartmouth
200 free,Carly Joerin,1:57.20,Dartmouth
200 free,Hayden Barry,2:07.47,Dartmouth
500 free,Christina Cianciolo,4:56.45,Dartmouth
500 free,Carly Joerin,4:59.56,Dartmouth
500 free,Sydney Rawie,4:59.80,Dartmouth
500 free,Sophie Wiener,5:08.66,Dartmouth
500 free,Hayden Barry,5:21.37,Dartmouth
100 back,Mary Howley,56.79,Dartmouth
100 back,Zoe Moon,57.72,Dartmouth
100 back,Lane Murray,57.94,Dartmouth
100 back,Katherine Kramer,59.34,Dartmouth
100 back,Sydney Rawie,1:02.39,Dartmouth
200 back,Julianne Jones,2:01.75,Dartmouth
200 back,Mary Howley,2:02.05,Dartmouth
200 back,Zoe Moon,2:04.60,Dartmouth
200 back,Sydney Rawie,2:05.76,Dartmouth
200 back,Katherine Kramer,2:09.00,Dartmouth
100 breast,Julianne Jones,1:04.20,Dartmouth
100 breast,Rachel Zhang,1:07.35,Dartmouth
100 breast,Carly Joerin,1:10.49,Dartmouth
200 breast,Julianne Jones,2:15.21,Dartmouth
200 breast,Carly Joerin,2:24.59,Dartmouth
200 breast,Rachel Zhang,2:35.90,Dartmouth
100 fly,Lindsey Drumm,55.37,Dartmouth
100 fly,Lane Murray,55.54,Dartmouth
100 fly,Mary Howley,55.89,Dartmouth
100 fly,Sydney Rawie,1:00.12,Dartmouth
100 fly,Katherine Kramer,1:04.80,Dartmouth
200 fly,Lindsey Drumm,2:03.27,Dartmouth
200 fly,Lane Murray,2:08.12,Dartmouth
200 fly,Sydney Rawie,2:20.08,Dartmouth
200 fly,Hayden Barry,2:30.60,Dartmouth
200 IM,Julianne Jones,2:01.90,Dartmouth
200 IM,Carly Joerin,2:08.27,Dartmouth
200 IM,Sydney Rawie,2:11.14,Dartmouth
200 IM,Zoe Moon,2:17.05,Dartmouth
400 IM,Julianne Jones,4:18.63,Dartmouth
400 IM,Carly Joerin,4:22.84,Dartmouth
400 IM,Sydney Rawie,4:30.59,Dartmouth
400 IM,Hayden Barry,4:53.39,Dartmouth
