Event,Name ,Time ,Team
1000 free,Emily Appleton,9:55.03,Princeton
1000 free,Megan Reich,10:01.76,Princeton
1000 free,Nathalie Valdman,10:06.65,Princeton
1000 free,Ellie Marquardt,10:07.58,Princeton
1000 free,Meg Wheeler,10:20.47,Princeton
1000 free,Heidi Smithwick,10:28.79,Princeton
1000 free,Caroline Lewitt,10:42.19,Princeton
1000 free,Macey Mannion,10:48.91,Princeton
50 free,Nikki Venema,22.23,Princeton
50 free,Amelia Liu,22.41,Princeton
50 free,Elzbieta Noble,22.45,Princeton
50 free,Sabrina Johnston,22.54,Princeton
50 free,Heidi Smithwick,22.79,Princeton
50 free,Isabella Korbly,23.53,Princeton
50 free,Alexa Pappas,23.63,Princeton
50 free,Margaret Hayes,24.26,Princeton
50 free,Caroline Lewitt,24.29,Princeton
50 free,Jaime Chen,24.36,Princeton
50 free,Nathalie Valdman,24.63,Princeton
50 free,Ellie Marquardt,24.72,Princeton
50 free,Liza Whitmire,24.75,Princeton
50 free,Eliza Brown,25.28,Princeton
50 free,Annie Robinson,25.62,Princeton
50 free,Megan Reich,25.63,Princeton
50 free,Charlotte Martinkus,32.84,Princeton
100 free,Nikki Venema,48.33,Princeton
100 free,Sabrina Johnston,49.09,Princeton
100 free,Elzbieta Noble,49.5,Princeton
100 free,Amelia Liu,49.95,Princeton
100 free,Heidi Smithwick,50.41,Princeton
100 free,Caroline Lewitt,50.79,Princeton
100 free,Ellie Marquardt,51.45,Princeton
100 free,Jaime Chen,52.06,Princeton
100 free,Nathalie Valdman,52.07,Princeton
100 free,Alexa Pappas,52.21,Princeton
100 free,Eliza Brown,52.53,Princeton
100 free,Megan Reich,53.15,Princeton
100 free,Isabella Korbly,54.42,Princeton
100 free,Annie Robinson,55.46,Princeton
100 free,Margaret Hayes,55.48,Princeton
200 free,Nikki Venema,1:44.79,Princeton
200 free,Ellie Marquardt,1:46.72,Princeton
200 free,Caroline Lewitt,1:48.50,Princeton
200 free,Heidi Smithwick,1:48.74,Princeton
200 free,Sabrina Johnston,1:48.77,Princeton
200 free,Amelia Liu,1:49.19,Princeton
200 free,Megan Reich,1:49.55,Princeton
200 free,Nathalie Valdman,1:50.52,Princeton
200 free,Macey Mannion,1:51.12,Princeton
200 free,Emily Appleton,1:51.56,Princeton
200 free,Elzbieta Noble,1:53.49,Princeton
500 free,Emily Appleton,4:45.65,Princeton
500 free,Ellie Marquardt,4:47.91,Princeton
500 free,Megan Reich,4:50.41,Princeton
500 free,Caroline Lewitt,4:50.64,Princeton
500 free,Meg Wheeler,4:51.85,Princeton
